REGION,DAY,DOW,LD,LM,HH,SBUS
1,1,sun,0.796790,0.495819,0.324035,0
1,2,mon,0.948027,0.918670,0.893196,1
1,3,tuth,1,1,1,1
1,6,fri,1.050755,1.014307,0.959120,1
1,7,sat,0.928747,0.617670,0.368863,0
1,8,holi,0.797451,0.866195,0.828714,0
2,1,sun,1.200535,0.823616,0.418047,0
2,2,mon,1.006282,0.948747,0.913910,1
2,3,tuth,1,1,1,1
2,6,fri,1.245811,1.086336,1.014173,1
2,7,sat,1.217818,0.805659,0.444822,0
2,8,holi,1.117054,0.938608,0.837210,0
3,1,sun,1.200535,0.823616,0.418047,0
3,2,mon,1.006282,0.948747,0.913910,1
3,3,tuth,1,1,1,1
3,6,fri,1.245811,1.086336,1.014173,1
3,7,sat,1.217818,0.805659,0.444822,0
3,8,holi,1.117054,0.938608,0.837210,0
4,1,sun,0.650927,0.441875,0.410358,0
4,2,mon,0.964202,0.959953,0.870645,1
4,3,tuth,1,1,1,1
4,6,fri,1.008339,1.015146,0.961940,1
4,7,sat,0.770501,0.603844,0.503358,0
4,8,holi,0.730854,0.656400,0.605438,0
5,1,sun,1.200535,0.823616,0.418047,0
5,2,mon,1.006282,0.948747,0.913910,1
5,3,tuth,1,1,1,1
5,6,fri,1.245811,1.086336,1.014173,1
5,7,sat,1.217818,0.805659,0.444822,0
5,8,holi,1.117054,0.938608,0.837210,0
6,1,sun,0.650927,0.441875,0.410358,0
6,2,mon,0.964202,0.959953,0.870645,1
6,3,tuth,1,1,1,1
6,6,fri,1.008339,1.015146,0.961940,1
6,7,sat,0.770501,0.603844,0.503358,0
6,8,holi,0.730854,0.656400,0.605438,0
7,1,sun,0.778705,0.519234,0.375642,0
7,2,mon,0.942861,0.926444,0.873370,1
7,3,tuth,1,1,1,1
7,6,fri,1.047408,1.022462,0.982252,1
7,7,sat,0.924107,0.665289,0.470463,0
7,8,holi,0.788110,0.826536,0.799099,0
8,1,sun,0.849813,0.492698,0.326021,0
8,2,mon,0.960583,0.950204,0.915046,1
8,3,tuth,1,1,1,1
8,6,fri,1.030552,1.004259,0.932415,1
8,7,sat,0.923594,0.618866,0.376133,0
8,8,holi,0.769507,0.618683,0.526726,0
9,1,sun,0.971756,0.667865,0.602143,0
9,2,mon,0.988014,0.977286,0.942518,1
9,3,tuth,1,1,1,1
9,6,fri,1.177729,1.100838,0.962929,1
9,7,sat,1.037113,0.786044,0.575321,0
9,8,holi,0.970570,0.932750,0.921170,0
10,1,sun,0.850307,0.443180,0.395586,0
10,2,mon,1.014799,0.933575,0.877957,1
10,3,tuth,1,1,1,1
10,6,fri,1.154639,1.026093,0.927240,1
10,7,sat,0.945270,0.562842,0.477287,0
10,8,holi,0.800321,0.775224,0.783951,0
11,1,sun,0.650927,0.441875,0.410358,0
11,2,mon,0.964202,0.959953,0.870645,1
11,3,tuth,1,1,1,1
11,6,fri,1.008339,1.015146,0.961940,1
11,7,sat,0.770501,0.603844,0.503358,0
11,8,holi,0.730854,0.656400,0.605438,0
12,1,sun,0.849813,0.492698,0.326021,0
12,2,mon,0.960583,0.950204,0.915046,1
12,3,tuth,1,1,1,1
12,6,fri,1.030552,1.004259,0.932415,1
12,7,sat,0.923594,0.618866,0.376133,0
12,8,holi,0.769507,0.618683,0.526726,0
13,1,sun,1.081633,0.608327,0.396226,0
13,2,mon,1.003945,0.930892,0.948242,1
13,3,tuth,1,1,1,1
13,6,fri,1.109219,1.161369,0.983072,1
13,7,sat,1.065213,0.686505,0.522060,0
13,8,holi,1.023563,0.813647,0.672726,0
14,1,sun,1.200535,0.823616,0.418047,0
14,2,mon,1.006282,0.948747,0.913910,1
14,3,tuth,1,1,1,1
14,6,fri,1.245811,1.086336,1.014173,1
14,7,sat,1.217818,0.805659,0.444822,0
14,8,holi,1.117054,0.938608,0.837210,0
15,1,sun,1.113413,0.629700,0.416228,0
15,2,mon,1.061219,0.941650,0.848887,1
15,3,tuth,1,1,1,1
15,6,fri,1.252528,1.043821,0.900331,1
15,7,sat,1.099260,0.734191,0.535087,0
15,8,holi,0.986174,0.910488,0.837064,0
16,1,sun,0.662261,0.358439,0.355921,0
16,2,mon,0.960586,0.909488,0.892345,1
16,3,tuth,1,1,1,1
16,6,fri,1.044119,0.982447,0.948351,1
16,7,sat,0.806469,0.520824,0.456083,0
16,8,holi,0.669342,0.665957,0.759595,0
17,1,sun,0.849813,0.492698,0.326021,0
17,2,mon,0.960583,0.950204,0.915046,1
17,3,tuth,1,1,1,1
17,6,fri,1.030552,1.004259,0.932415,1
17,7,sat,0.923594,0.618866,0.376133,0
17,8,holi,0.769507,0.618683,0.526726,0
18,1,sun,0.941054,0.702585,0.586600,0
18,2,mon,0.993116,0.942437,0.798241,1
18,3,tuth,1,1,1,1
18,6,fri,1.093807,1.070296,0.881753,1
18,7,sat,0.962331,0.766218,0.657626,0
18,8,holi,0.968238,0.743852,0.608203,0
19,1,sun,0.858085,0.489472,0.398032,0
19,2,mon,0.972675,0.935751,0.878334,1
19,3,tuth,1,1,1,1
19,6,fri,1.047334,1.004693,0.917539,1
19,7,sat,0.979063,0.640535,0.509276,0
19,8,holi,0.863476,0.807665,0.801106,0
20,1,sun,1.015394,0.478017,0.399608,0
20,2,mon,1.021868,0.941815,0.901950,1
20,3,tuth,1,1,1,1
20,6,fri,1.174527,1.022203,0.960526,1
20,7,sat,1.102954,0.602276,0.476289,0
20,8,holi,0.870732,0.834037,0.831769,0
21,1,sun,0.778705,0.519234,0.375642,0
21,2,mon,0.942861,0.926444,0.873370,1
21,3,tuth,1,1,1,1
21,6,fri,1.047408,1.022462,0.982252,1
21,7,sat,0.924107,0.665289,0.470463,0
21,8,holi,0.788110,0.826536,0.799099,0
22,1,sun,1.200535,0.823616,0.418047,0
22,2,mon,1.006282,0.948747,0.913910,1
22,3,tuth,1,1,1,1
22,6,fri,1.245811,1.086336,1.014173,1
22,7,sat,1.217818,0.805659,0.444822,0
22,8,holi,1.117054,0.938608,0.837210,0
23,1,sun,0.849813,0.492698,0.326021,0
23,2,mon,0.960583,0.950204,0.915046,1
23,3,tuth,1,1,1,1
23,6,fri,1.030552,1.004259,0.932415,1
23,7,sat,0.923594,0.618866,0.376133,0
23,8,holi,0.769507,0.618683,0.526726,0
24,1,sun,1.001748,0.593352,0.421376,0
24,2,mon,1.008847,0.957537,0.903504,1
24,3,tuth,1,1,1,1
24,6,fri,1.184663,1.102669,0.970233,1
24,7,sat,1.055062,0.712575,0.476738,0
24,8,holi,0.977001,0.896643,0.796876,0
25,1,sun,1.133190,0.801476,0.638054,0
25,2,mon,1.158893,0.960898,0.634157,1
25,3,tuth,1,1,1,1
25,6,fri,1.202117,1.108837,0.766633,1
25,7,sat,1.041047,0.819299,0.745329,0
25,8,holi,1.087238,0.992346,0.703701,0
26,1,sun,1.200535,0.823616,0.418047,0
26,2,mon,1.006282,0.948747,0.913910,1
26,3,tuth,1,1,1,1
26,6,fri,1.245811,1.086336,1.014173,1
26,7,sat,1.217818,0.805659,0.444822,0
26,8,holi,1.117054,0.938608,0.837210,0
27,1,sun,1.199557,0.602523,0.342074,0
27,2,mon,1.106284,0.987547,0.876123,1
27,3,tuth,1,1,1,1
27,6,fri,1.116074,1.093322,0.994505,1
27,7,sat,1.022898,0.724397,0.699520,0
27,8,holi,1.082518,0.755167,0.606757,0
28,1,sun,1.027669,0.624157,0.392410,0
28,2,mon,0.989270,0.949630,0.894624,1
28,3,tuth,1,1,1,1
28,6,fri,1.125866,1.041329,0.987800,1
28,7,sat,1.118159,0.742824,0.439588,0
28,8,holi,0.952331,0.905023,0.847096,0
29,1,sun,0.971756,0.667865,0.602143,0
29,2,mon,0.988014,0.977286,0.942518,1
29,3,tuth,1,1,1,1
29,6,fri,1.177729,1.100838,0.962929,1
29,7,sat,1.037113,0.786044,0.575321,0
29,8,holi,0.970570,0.932750,0.921170,0
30,1,sun,0.808210,0.414634,0.327051,0
30,2,mon,0.962022,0.919607,0.890692,1
30,3,tuth,1,1,1,1
30,6,fri,1.037564,1.024591,0.988233,1
30,7,sat,0.939825,0.587434,0.433132,0
30,8,holi,0.830532,0.773908,0.796038,0
31,1,sun,0.971756,0.667865,0.602143,0
31,2,mon,0.988014,0.977286,0.942518,1
31,3,tuth,1,1,1,1
31,6,fri,1.177729,1.100838,0.962929,1
31,7,sat,1.037113,0.786044,0.575321,0
31,8,holi,0.970570,0.932750,0.921170,0
32,1,sun,0.650927,0.441875,0.410358,0
32,2,mon,0.964202,0.959953,0.870645,1
32,3,tuth,1,1,1,1
32,6,fri,1.008339,1.015146,0.961940,1
32,7,sat,0.770501,0.603844,0.503358,0
32,8,holi,0.730854,0.656400,0.605438,0
33,1,sun,0.893673,0.488924,0.382980,0
33,2,mon,0.974134,0.941275,0.887064,1
33,3,tuth,1,1,1,1
33,6,fri,1.084520,1.028473,0.977131,1
33,7,sat,1.010703,0.628996,0.490992,0
33,8,holi,0.932658,0.847843,0.843612,0
34,1,sun,0.773704,0.489926,0.431144,0
34,2,mon,0.962920,0.953968,0.913247,1
34,3,tuth,1,1,1,1
34,6,fri,1.064901,1.038545,0.973190,1
34,7,sat,0.883842,0.622271,0.501739,0
34,8,holi,0.808875,0.831557,0.852498,0
35,1,sun,1.199557,0.602523,0.342074,0
35,2,mon,1.106284,0.987547,0.876123,1
35,3,tuth,1,1,1,1
35,6,fri,1.116074,1.093322,0.994505,1
35,7,sat,1.022898,0.724397,0.699520,0
35,8,holi,1.082518,0.755167,0.606757,0
36,1,sun,0.890254,0.559683,0.531647,0
36,2,mon,0.987530,0.930754,0.913273,1
36,3,tuth,1,1,1,1
36,6,fri,1.093594,1.068981,1.012157,1
36,7,sat,0.969811,0.742628,0.634480,0
36,8,holi,0.941549,0.818351,0.830675,0
37,1,sun,0.796442,0.531875,0.341459,0
37,2,mon,0.963483,0.927995,0.882259,1
37,3,tuth,1,1,1,1
37,6,fri,1.067028,1.021742,0.982363,1
37,7,sat,0.928491,0.665129,0.445944,0
37,8,holi,0.807724,0.784768,0.784666,0
38,1,sun,0.852230,0.521914,0.389767,0
38,2,mon,0.928327,0.896917,0.887473,1
38,3,tuth,1,1,1,1
38,6,fri,1.050142,1.002162,0.980135,1
38,7,sat,0.957358,0.639436,0.451885,0
38,8,holi,0.783057,0.810570,0.840369,0
39,1,sun,0.932602,0.500295,0.393336,0
39,2,mon,0.983979,0.917706,0.907683,1
39,3,tuth,1,1,1,1
39,6,fri,1.127860,1.086452,0.976213,1
39,7,sat,1.035008,0.656542,0.466370,0
39,8,holi,0.907295,0.769997,0.756659,0
40,1,sun,1.037731,0.628665,0.412535,0
40,2,mon,1.064247,0.969695,0.935198,1
40,3,tuth,1,1,1,1
40,6,fri,1.113100,1.094418,1.047115,1
40,7,sat,0.989710,0.725277,0.563488,0
40,8,holi,0.966576,0.713716,0.668631,0
41,1,sun,0.713955,0.439377,0.324142,0
41,2,mon,0.925583,0.890295,0.886985,1
41,3,tuth,1,1,1,1
41,6,fri,1.019605,0.982584,0.978359,1
41,7,sat,0.834414,0.549603,0.402016,0
41,8,holi,0.780038,0.742034,0.766973,0
42,1,sun,0.809904,0.387880,0.301370,0
42,2,mon,1.043798,0.951756,0.912445,1
42,3,tuth,1,1,1,1
42,6,fri,1.080395,1.010784,0.996090,1
42,7,sat,0.829239,0.541504,0.561974,0
42,8,holi,0.810892,0.535290,0.545196,0
43,1,sun,0.733849,0.488946,0.343284,0
43,2,mon,0.953763,0.908654,0.905827,1
43,3,tuth,1,1,1,1
43,6,fri,1.041541,1.004055,0.953315,1
43,7,sat,0.852940,0.614185,0.399739,0
43,8,holi,0.765052,0.833732,0.807250,0
44,1,sun,0.894934,0.531617,0.473190,0
44,2,mon,0.945868,0.925750,0.950446,1
44,3,tuth,1,1,1,1
44,6,fri,1.041345,1.015907,1.039884,1
44,7,sat,0.982022,0.657382,0.544425,0
44,8,holi,0.897197,0.898740,0.876108,0
45,1,sun,1.076355,0.822615,0.626943,0
45,2,mon,0.939053,1.006929,0.660128,1
45,3,tuth,1,1,1,1
45,6,fri,1.077667,1.155505,0.773625,1
45,7,sat,1.117223,0.863252,0.718551,0
45,8,holi,0.902383,0.836510,0.601647,0
46,1,sun,0.971756,0.667865,0.602143,0
46,2,mon,0.988014,0.977286,0.942518,1
46,3,tuth,1,1,1,1
46,6,fri,1.177729,1.100838,0.962929,1
46,7,sat,1.037113,0.786044,0.575321,0
46,8,holi,0.970570,0.932750,0.921170,0
47,1,sun,1.133190,0.801476,0.638054,0
47,2,mon,1.158893,0.960898,0.634157,1
47,3,tuth,1,1,1,1
47,6,fri,1.202117,1.108837,0.766633,1
47,7,sat,1.041047,0.819299,0.745329,0
47,8,holi,1.087238,0.992346,0.703701,0
48,1,sun,1.007962,0.589339,0.359546,0
48,2,mon,0.979063,0.948271,0.887058,1
48,3,tuth,1,1,1,1
48,6,fri,1.129948,1.032779,0.968773,1
48,7,sat,1.090781,0.719439,0.416310,0
48,8,holi,0.908697,0.895814,0.844311,0
49,1,sun,0.778705,0.519234,0.375642,0
49,2,mon,0.942861,0.926444,0.873370,1
49,3,tuth,1,1,1,1
49,6,fri,1.047408,1.022462,0.982252,1
49,7,sat,0.924107,0.665289,0.470463,0
49,8,holi,0.788110,0.826536,0.799099,0
50,1,sun,1.001748,0.593352,0.421376,0
50,2,mon,1.008847,0.957537,0.903504,1
50,3,tuth,1,1,1,1
50,6,fri,1.184663,1.102669,0.970233,1
50,7,sat,1.055062,0.712575,0.476738,0
50,8,holi,0.977001,0.896643,0.796876,0
51,1,sun,0.971756,0.667865,0.602143,0
51,2,mon,0.988014,0.977286,0.942518,1
51,3,tuth,1,1,1,1
51,6,fri,1.177729,1.100838,0.962929,1
51,7,sat,1.037113,0.786044,0.575321,0
51,8,holi,0.970570,0.932750,0.921170,0
52,1,sun,1.076355,0.822615,0.626943,0
52,2,mon,0.939053,1.006929,0.660128,1
52,3,tuth,1,1,1,1
52,6,fri,1.077667,1.155505,0.773625,1
52,7,sat,1.117223,0.863252,0.718551,0
52,8,holi,0.902383,0.836510,0.601647,0
53,1,sun,1.133190,0.801476,0.638054,0
53,2,mon,1.158893,0.960898,0.634157,1
53,3,tuth,1,1,1,1
53,6,fri,1.202117,1.108837,0.766633,1
53,7,sat,1.041047,0.819299,0.745329,0
53,8,holi,1.087238,0.992346,0.703701,0
54,1,sun,1.028995,0.429032,0.184547,0
54,2,mon,1.052173,0.936376,0.911821,1
54,3,tuth,1,1,1,1
54,6,fri,1.098593,1.020033,0.970183,1
54,7,sat,0.992511,0.670365,0.502878,0
54,8,holi,0.942483,0.584816,0.566772,0
55,1,sun,1.200535,0.823616,0.418047,0
55,2,mon,1.006282,0.948747,0.913910,1
55,3,tuth,1,1,1,1
55,6,fri,1.245811,1.086336,1.014173,1
55,7,sat,1.217818,0.805659,0.444822,0
55,8,holi,1.117054,0.938608,0.837210,0
56,1,sun,0.771515,0.405600,0.490792,0
56,2,mon,0.956410,0.923773,0.931848,1
56,3,tuth,1,1,1,1
56,6,fri,1.035520,0.992138,1.004107,1
56,7,sat,0.888040,0.553989,0.637180,0
56,8,holi,0.817053,0.785122,0.863436,0
57,1,sun,0.901820,0.562894,0.357142,0
57,2,mon,0.971559,0.953884,0.931598,1
57,3,tuth,1,1,1,1
57,6,fri,1.098562,1.045345,0.972507,1
57,7,sat,0.992376,0.669136,0.425672,0
57,8,holi,0.894875,0.883252,0.860940,0
58,1,sun,0.971756,0.667865,0.602143,0
58,2,mon,0.988014,0.977286,0.942518,1
58,3,tuth,1,1,1,1
58,6,fri,1.177729,1.100838,0.962929,1
58,7,sat,1.037113,0.786044,0.575321,0
58,8,holi,0.970570,0.932750,0.921170,0
